,Lancôme,Sol de Janeiro,Charlotte Tilbury,Make Up By Mario,Rare Beauty,Hourglass,Make Up For Ever,Dior Beauty,Summer Fridays,tarte,Huda Beauty,Fenty Beauty,NARS,Clinique,Drunk Elephant,Too Faced,Glow Recipe,NYX,Bobbi Brown,Patrick Ta Beauty,YSL Beauty,Maybelline,Benefit Cosmetics,Natasha Denona,Anastasia Beverly Hills,MAC Cosmetics,Urban Decay,Shiseido,SEPHORA COLLECTION,Laneige,Chanel Beauty,Glossier,Paula's Choice,Olaplex,Kiehl's,Kosas,Morphe,Laura Mercier,Gucci Beauty,Tom Ford Beauty,Pat McGrath Labs,The Ordinary,La Mer,L'Oréal,Giorgio Armani Beauty,Milk Makeup,First Aid Beauty
Lancôme,0.0,1.4632352941176472,1.1496848739495797,0.6662946428571428,1.0660714285714286,1.9134615384615385,1.1306818181818181,1.5945512820512824,2.763888888888889,0.0,0.4877450980392157,0.5407608695652173,1.2036290322580645,2.4875,1.4925,1.4350961538461537,0.8291666666666667,4.975,2.4875,1.5546875,1.1306818181818181,3.5535714285714284,0.8883928571428571,2.33203125,0.5407608695652173,0.0,0.0,3.5535714285714284,0.0,1.3819444444444444,0.0,4.975,0.0,0.0,0.0,4.145833333333333,0.0,2.0729166666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sol de Janeiro,1.4632352941176472,0.0,0.6885813148788927,0.8361344537815126,1.1705882352941177,0.6003016591251886,0.0,1.2006033182503772,0.0,1.8482972136222908,1.1476355247981547,1.526854219948849,0.7552182163187856,2.341176470588235,1.4047058823529412,1.8009049773755657,3.121568627450981,0.0,0.0,0.0,1.0641711229946524,0.0,0.8361344537815126,0.0,1.017902813299233,0.0,0.0,0.0,0.0,2.6013071895424837,0.0,2.341176470588235,0.0,0.0,11.705882352941178,3.9019607843137263,0.0,1.9509803921568631,11.705882352941178,0.0,0.0,11.705882352941178,0.0,0.0,0.0,0.0,0.0
Charlotte Tilbury,1.1496848739495797,0.6885813148788927,0.0,1.1944777911164466,0.9316926770708283,1.3292393880629174,1.3682200152788386,1.3292393880629174,1.6722689075630253,1.2321981424148605,1.1476355247981544,1.126963829009865,1.1328273244781781,0.66890756302521,0.9364705882352942,1.029088558500323,1.2263305322128852,1.33781512605042,1.33781512605042,0.9754901960784313,1.5202444614209318,1.672268907563025,1.0750300120048017,1.0451680672268908,1.0906101571063207,1.3139255702280912,1.2863606981254039,1.672268907563025,1.1944777911164466,1.4864612511671336,1.672268907563025,1.003361344537815,0.0,0.5574229691876751,0.8361344537815125,1.1148459383753502,0.5574229691876751,1.1148459383753502,0.0,0.8361344537815125,1.6722689075630253,1.672268907563025,1.672268907563025,1.672268907563025,1.672268907563025,1.672268907563025,1.672268907563025
Make Up By Mario,0.6662946428571428,0.8361344537815126,1.1944777911164466,0.0,1.0153061224489797,1.548992673992674,1.6152597402597402,1.8223443223443225,2.3690476190476186,1.4962406015037595,1.3935574229691878,1.0042701863354038,1.1463133640552996,0.7107142857142856,0.9950000000000001,1.0934065934065933,1.1845238095238098,0.7107142857142856,1.7767857142857142,1.7767857142857144,0.9691558441558441,1.5229591836734693,1.2691326530612246,0.44419642857142855,1.545031055900621,0.7614795918367346,0.5467032967032966,1.0153061224489794,2.030612244897959,1.974206349206349,0.8883928571428571,1.4214285714285713,3.5535714285714284,2.3690476190476195,1.7767857142857142,3.553571428571429,0.0,0.5922619047619049,0.0,1.7767857142857142,1.1845238095238098,3.5535714285714284,0.0,0.0,3.5535714285714284,3.5535714285714284,3.5535714285714284
Rare Beauty,1.0660714285714286,1.1705882352941177,0.9316926770708283,1.0153061224489797,0.0,0.8018315018315018,0.5168831168831168,1.312087912087912,0.9476190476190474,1.3466165413533833,0.9476190476190476,1.112422360248447,1.3755760368663592,1.7057142857142855,1.250857142857143,1.2027472527472527,0.5685714285714285,1.137142857142857,0.5685714285714285,0.9476190476190476,1.0337662337662337,1.2183673469387755,1.1168367346938775,1.24375,0.741614906832298,0.6091836734693877,0.6560439560439559,0.8122448979591836,1.2183673469387755,0.6317460317460316,0.7107142857142856,2.274285714285714,2.8428571428571425,1.8952380952380952,1.4214285714285713,1.8952380952380952,1.8952380952380952,1.8952380952380952,0.0,2.8428571428571425,0.9476190476190476,0.0,0.0,1.4214285714285713,0.0,2.8428571428571425,0.0
Hourglass,1.9134615384615385,0.6003016591251886,1.3292393880629174,1.548992673992674,0.8018315018315018,0.0,2.3193473193473193,1.8316896778435243,3.4017094017094016,0.5371120107962214,1.2006033182503772,0.887402452619844,0.9875930521091811,0.0,0.4082051282051283,1.1775147928994083,1.700854700854701,0.0,2.0410256410256413,2.7638888888888893,2.783216783216783,2.186813186813187,1.0934065934065935,2.5512820512820515,1.996655518394649,0.728937728937729,1.1775147928994083,2.186813186813187,1.457875457875458,1.7008547008547008,1.2756410256410258,1.0205128205128207,0.0,0.0,2.5512820512820515,1.700854700854701,1.700854700854701,0.8504273504273505,5.102564102564103,2.5512820512820515,1.700854700854701,0.0,0.0,0.0,0.0,5.102564102564103,0.0
Make Up For Ever,1.1306818181818181,0.0,1.3682200152788386,1.6152597402597402,0.5168831168831168,2.3193473193473193,0.0,2.3193473193473193,6.030303030303029,0.952153110047847,1.0641711229946522,1.5731225296442688,1.1671554252199412,0.0,0.7236363636363636,2.783216783216783,0.0,0.0,1.8090909090909089,0.7537878787878788,1.6446280991735536,0.0,2.5844155844155843,1.1306818181818181,3.1462450592885376,1.2922077922077921,0.0,0.0,2.5844155844155843,0.0,0.0,0.0,0.0,6.03030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.09090909090909,0.0,0.0
Dior Beauty,1.5945512820512824,1.2006033182503772,1.3292393880629174,1.8223443223443225,1.312087912087912,1.8316896778435243,2.3193473193473193,0.0,3.4017094017094016,0.805668016194332,1.4007038712921067,1.2201783723522854,1.4813895781637718,2.0410256410256413,1.428717948717949,0.7850098619329389,1.700854700854701,3.0615384615384613,2.0410256410256413,1.2756410256410258,2.3193473193473193,0.728937728937729,1.2756410256410258,1.2756410256410258,1.774804905239688,1.0934065934065935,1.5700197238658777,0.728937728937729,0.728937728937729,2.834757834757835,2.5512820512820515,2.0410256410256413,0.0,0.0,2.5512820512820515,3.401709401709402,1.700854700854701,1.700854700854701,0.0,2.5512820512820515,0.0,5.102564102564103,5.102564102564103,0.0,5.102564102564103,0.0,0.0
Summer Fridays,2.763888888888889,0.0,1.6722689075630253,2.3690476190476186,0.9476190476190474,3.4017094017094016,6.030303030303029,3.4017094017094016,0.0,0.0,1.3006535947712417,0.9613526570048309,1.4265232974910393,0.0,1.768888888888889,0.8504273504273503,1.474074074074074,0.0,2.2111111111111112,2.763888888888889,4.02020202020202,0.0,0.7896825396825397,1.3819444444444444,1.9227053140096617,0.0,0.0,0.0,0.0,2.4567901234567904,0.0,8.844444444444445,0.0,0.0,0.0,0.0,0.0,3.685185185185185,0.0,0.0,0.0,0.0,0.0,0.0,22.11111111111111,0.0,0.0
tarte,0.0,1.8482972136222908,1.2321981424148605,1.4962406015037595,1.3466165413533833,0.5371120107962214,0.952153110047847,0.805668016194332,0.0,0.0,1.6429308565531475,1.8215102974828377,1.6893039049235994,2.094736842105263,0.8378947368421054,1.6113360323886639,1.3964912280701756,0.0,1.0473684210526315,0.43640350877192985,0.952153110047847,2.992481203007519,0.7481203007518797,0.6546052631578947,1.366132723112128,1.4962406015037595,0.8056680161943319,0.0,1.4962406015037595,3.4912280701754383,0.0,2.094736842105263,0.0,0.0,5.2368421052631575,0.0,0.0,3.491228070175439,10.473684210526315,0.0,0.0,0.0,0.0,5.2368421052631575,0.0,0.0,0.0
Huda Beauty,0.4877450980392157,1.1476355247981547,1.1476355247981544,1.3935574229691878,0.9476190476190476,1.2006033182503772,1.0641711229946522,1.4007038712921067,1.3006535947712417,1.6429308565531475,0.0,1.526854219948849,1.258697027197976,0.7803921568627451,0.7803921568627452,1.350678733031674,0.5202614379084968,0.7803921568627451,1.9509803921568627,0.9754901960784313,1.4188948306595366,1.6722689075630253,1.254201680672269,0.4877450980392157,1.3572037510656436,0.8361344537815126,1.5007541478129711,1.6722689075630253,1.6722689075630253,1.7342047930283224,0.9754901960784313,1.5607843137254902,0.0,0.0,1.9509803921568627,1.3006535947712419,0.0,0.6503267973856209,0.0,3.9019607843137254,0.0,3.9019607843137254,3.9019607843137254,1.9509803921568627,3.9019607843137254,0.0,0.0
Fenty Beauty,0.5407608695652173,1.526854219948849,1.126963829009865,1.0042701863354038,1.112422360248447,0.887402452619844,1.5731225296442688,1.2201783723522854,0.9613526570048309,1.8215102974828377,1.526854219948849,0.0,1.3955119214586256,1.7304347826086954,0.8652173913043479,1.6638795986622075,0.5768115942028986,1.7304347826086954,0.0,0.36050724637681164,1.9664031620553362,1.8540372670807452,1.6995341614906831,0.5407608695652173,1.3166351606805293,1.236024844720497,1.9966555183946486,1.236024844720497,2.472049689440994,1.4420289855072461,0.0,2.595652173913043,4.326086956521738,2.884057971014493,4.326086956521738,2.884057971014493,0.0,2.884057971014493,4.326086956521738,0.0,0.0,0.0,0.0,4.326086956521738,4.326086956521738,0.0,0.0
NARS,1.2036290322580645,0.7552182163187856,1.1328273244781781,1.1463133640552996,1.3755760368663592,0.9875930521091811,1.1671554252199412,1.4813895781637718,1.4265232974910393,1.6893039049235994,1.258697027197976,1.3955119214586256,0.0,1.2838709677419353,0.7703225806451612,1.975186104218362,0.42795698924731185,2.5677419354838706,1.2838709677419353,0.26747311827956993,0.5835777126099706,1.834101382488479,1.834101382488479,2.808467741935484,1.9537166900420755,1.834101382488479,1.975186104218362,3.668202764976958,1.834101382488479,0.7132616487455197,1.6048387096774193,1.2838709677419353,0.0,0.0,0.0,0.0,0.0,3.209677419354839,0.0,3.2096774193548385,2.1397849462365595,0.0,0.0,3.2096774193548385,6.419354838709677,0.0,0.0
Clinique,2.4875,2.341176470588235,0.66890756302521,0.7107142857142856,1.7057142857142855,0.0,0.0,2.0410256410256413,0.0,2.094736842105263,0.7803921568627451,1.7304347826086954,1.2838709677419353,0.0,1.592,1.5307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.685714285714285,6.123076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drunk Elephant,1.4925,1.4047058823529412,0.9364705882352942,0.9950000000000001,1.250857142857143,0.4082051282051283,0.7236363636363636,1.428717948717949,1.768888888888889,0.8378947368421054,0.7803921568627452,0.8652173913043479,0.7703225806451612,1.592,0.0,0.6123076923076923,2.6533333333333338,0.0,1.592,0.9950000000000001,2.8945454545454545,1.1371428571428572,1.4214285714285717,0.0,1.3843478260869566,0.0,0.6123076923076923,1.1371428571428572,0.0,2.6533333333333333,0.0,1.592,7.960000000000001,5.3066666666666675,0.0,0.0,2.6533333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.960000000000001,0.0,0.0
Too Faced,1.4350961538461537,1.8009049773755657,1.029088558500323,1.0934065934065933,1.2027472527472527,1.1775147928994083,2.783216783216783,0.7850098619329389,0.8504273504273503,1.6113360323886639,1.350678733031674,1.6638795986622075,1.975186104218362,1.5307692307692307,0.6123076923076923,0.0,1.0205128205128207,0.0,0.0,0.3189102564102564,0.6958041958041957,4.373626373626373,3.006868131868132,1.9134615384615383,2.32943143812709,0.5467032967032966,1.177514792899408,0.0,1.0934065934065933,2.5512820512820507,1.9134615384615383,0.0,0.0,2.551282051282051,0.0,0.0,0.0,1.2756410256410255,0.0,0.0,0.0,0.0,0.0,3.8269230769230766,0.0,0.0,0.0
Glow Recipe,0.8291666666666667,3.121568627450981,1.2263305322128852,1.1845238095238098,0.5685714285714285,1.700854700854701,0.0,1.700854700854701,1.474074074074074,1.3964912280701756,0.5202614379084968,0.5768115942028986,0.42795698924731185,0.0,2.6533333333333338,1.0205128205128207,0.0,0.0,2.6533333333333333,1.6583333333333334,4.824242424242425,0.0,1.4214285714285715,0.8291666666666667,2.884057971014493,2.842857142857143,1.0205128205128207,1.8952380952380954,0.0,2.948148148148148,3.316666666666667,0.0,0.0,0.0,6.633333333333334,0.0,4.422222222222223,4.422222222222223,13.266666666666667,0.0,0.0,0.0,13.266666666666667,0.0,0.0,0.0,13.266666666666667
NYX,4.975,0.0,1.33781512605042,0.7107142857142856,1.137142857142857,0.0,0.0,3.0615384615384613,0.0,0.0,0.7803921568627451,1.7304347826086954,2.5677419354838706,0.0,0.0,0.0,0.0,0.0,3.9799999999999995,1.6583333333333334,3.6181818181818177,5.685714285714285,0.0,0.0,0.0,2.8428571428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0
