support,itemsets,itemsets_str
0.11557788944723618,frozenset({'Anastasia Beverly Hills'}),Anastasia Beverly Hills
0.1407035175879397,frozenset({'Benefit Cosmetics'}),Benefit Cosmetics
0.05025125628140704,frozenset({'Bobbi Brown'}),Bobbi Brown
0.5979899497487438,frozenset({'Charlotte Tilbury'}),Charlotte Tilbury
0.19597989949748743,frozenset({'Dior Beauty'}),Dior Beauty
0.12562814070351758,frozenset({'Drunk Elephant'}),Drunk Elephant
0.23115577889447236,frozenset({'Fenty Beauty'}),Fenty Beauty
0.07537688442211055,frozenset({'Glow Recipe'}),Glow Recipe
0.19597989949748743,frozenset({'Hourglass'}),Hourglass
0.2562814070351759,frozenset({'Huda Beauty'}),Huda Beauty
0.08040201005025126,frozenset({'Lanc么me'}),Lanc么me
0.07035175879396985,frozenset({'MAC Cosmetics'}),MAC Cosmetics
0.2814070351758794,frozenset({'Make Up By Mario'}),Make Up By Mario
0.05527638190954774,frozenset({'Make Up For Ever'}),Make Up For Ever
0.15577889447236182,frozenset({'NARS'}),NARS
0.08040201005025126,frozenset({'Natasha Denona'}),Natasha Denona
0.12060301507537688,frozenset({'Patrick Ta Beauty'}),Patrick Ta Beauty
0.35175879396984927,frozenset({'Rare Beauty'}),Rare Beauty
0.08542713567839195,frozenset({'Sol de Janeiro'}),Sol de Janeiro
0.1306532663316583,frozenset({'Too Faced'}),Too Faced
0.06532663316582915,frozenset({'Urban Decay'}),Urban Decay
0.05527638190954774,frozenset({'YSL Beauty'}),YSL Beauty
0.09547738693467336,frozenset({'tarte'}),tarte
0.07537688442211055,"frozenset({'Anastasia Beverly Hills', 'Charlotte Tilbury'})","Anastasia Beverly Hills, Charlotte Tilbury"
0.05025125628140704,"frozenset({'Anastasia Beverly Hills', 'Make Up By Mario'})","Anastasia Beverly Hills, Make Up By Mario"
0.09045226130653267,"frozenset({'Charlotte Tilbury', 'Benefit Cosmetics'})","Charlotte Tilbury, Benefit Cosmetics"
0.05527638190954774,"frozenset({'Fenty Beauty', 'Benefit Cosmetics'})","Fenty Beauty, Benefit Cosmetics"
0.05025125628140704,"frozenset({'Make Up By Mario', 'Benefit Cosmetics'})","Make Up By Mario, Benefit Cosmetics"
0.05527638190954774,"frozenset({'Benefit Cosmetics', 'Rare Beauty'})","Benefit Cosmetics, Rare Beauty"
0.05527638190954774,"frozenset({'Benefit Cosmetics', 'Too Faced'})","Benefit Cosmetics, Too Faced"
0.15577889447236182,"frozenset({'Charlotte Tilbury', 'Dior Beauty'})","Charlotte Tilbury, Dior Beauty"
0.07035175879396985,"frozenset({'Drunk Elephant', 'Charlotte Tilbury'})","Drunk Elephant, Charlotte Tilbury"
0.15577889447236182,"frozenset({'Fenty Beauty', 'Charlotte Tilbury'})","Fenty Beauty, Charlotte Tilbury"
0.05527638190954774,"frozenset({'Glow Recipe', 'Charlotte Tilbury'})","Glow Recipe, Charlotte Tilbury"
0.15577889447236182,"frozenset({'Charlotte Tilbury', 'Hourglass'})","Charlotte Tilbury, Hourglass"
0.17587939698492464,"frozenset({'Huda Beauty', 'Charlotte Tilbury'})","Huda Beauty, Charlotte Tilbury"
0.05527638190954774,"frozenset({'Lanc么me', 'Charlotte Tilbury'})","Lanc么me, Charlotte Tilbury"
0.05527638190954774,"frozenset({'Charlotte Tilbury', 'MAC Cosmetics'})","Charlotte Tilbury, MAC Cosmetics"
0.20100502512562815,"frozenset({'Make Up By Mario', 'Charlotte Tilbury'})","Make Up By Mario, Charlotte Tilbury"
0.10552763819095477,"frozenset({'Charlotte Tilbury', 'NARS'})","Charlotte Tilbury, NARS"
0.05025125628140704,"frozenset({'Natasha Denona', 'Charlotte Tilbury'})","Natasha Denona, Charlotte Tilbury"
0.07035175879396985,"frozenset({'Charlotte Tilbury', 'Patrick Ta Beauty'})","Charlotte Tilbury, Patrick Ta Beauty"
0.19597989949748743,"frozenset({'Charlotte Tilbury', 'Rare Beauty'})","Charlotte Tilbury, Rare Beauty"
0.08040201005025126,"frozenset({'Charlotte Tilbury', 'Too Faced'})","Charlotte Tilbury, Too Faced"
0.05025125628140704,"frozenset({'Charlotte Tilbury', 'Urban Decay'})","Charlotte Tilbury, Urban Decay"
0.05025125628140704,"frozenset({'Charlotte Tilbury', 'YSL Beauty'})","Charlotte Tilbury, YSL Beauty"
0.07035175879396985,"frozenset({'Charlotte Tilbury', 'tarte'})","Charlotte Tilbury, tarte"
0.05527638190954774,"frozenset({'Fenty Beauty', 'Dior Beauty'})","Fenty Beauty, Dior Beauty"
0.07035175879396985,"frozenset({'Dior Beauty', 'Hourglass'})","Dior Beauty, Hourglass"
0.07035175879396985,"frozenset({'Huda Beauty', 'Dior Beauty'})","Huda Beauty, Dior Beauty"
0.10050251256281408,"frozenset({'Make Up By Mario', 'Dior Beauty'})","Make Up By Mario, Dior Beauty"
0.09045226130653267,"frozenset({'Dior Beauty', 'Rare Beauty'})","Dior Beauty, Rare Beauty"
0.05527638190954774,"frozenset({'Drunk Elephant', 'Rare Beauty'})","Drunk Elephant, Rare Beauty"
0.09045226130653267,"frozenset({'Huda Beauty', 'Fenty Beauty'})","Huda Beauty, Fenty Beauty"
0.06532663316582915,"frozenset({'Make Up By Mario', 'Fenty Beauty'})","Make Up By Mario, Fenty Beauty"
0.05025125628140704,"frozenset({'Fenty Beauty', 'NARS'})","Fenty Beauty, NARS"
0.09045226130653267,"frozenset({'Fenty Beauty', 'Rare Beauty'})","Fenty Beauty, Rare Beauty"
0.05025125628140704,"frozenset({'Fenty Beauty', 'Too Faced'})","Fenty Beauty, Too Faced"
0.06030150753768844,"frozenset({'Huda Beauty', 'Hourglass'})","Huda Beauty, Hourglass"
0.08542713567839195,"frozenset({'Make Up By Mario', 'Hourglass'})","Make Up By Mario, Hourglass"
0.06532663316582915,"frozenset({'Hourglass', 'Patrick Ta Beauty'})","Hourglass, Patrick Ta Beauty"
0.05527638190954774,"frozenset({'Hourglass', 'Rare Beauty'})","Hourglass, Rare Beauty"
0.10050251256281408,"frozenset({'Make Up By Mario', 'Huda Beauty'})","Make Up By Mario, Huda Beauty"
0.05025125628140704,"frozenset({'Huda Beauty', 'NARS'})","Huda Beauty, NARS"
0.08542713567839195,"frozenset({'Huda Beauty', 'Rare Beauty'})","Huda Beauty, Rare Beauty"
0.05025125628140704,"frozenset({'Make Up By Mario', 'NARS'})","Make Up By Mario, NARS"
0.06030150753768844,"frozenset({'Make Up By Mario', 'Patrick Ta Beauty'})","Make Up By Mario, Patrick Ta Beauty"
0.10050251256281408,"frozenset({'Make Up By Mario', 'Rare Beauty'})","Make Up By Mario, Rare Beauty"
0.07537688442211055,"frozenset({'NARS', 'Rare Beauty'})","NARS, Rare Beauty"
0.05527638190954774,"frozenset({'Too Faced', 'Rare Beauty'})","Too Faced, Rare Beauty"
0.06030150753768844,"frozenset({'Charlotte Tilbury', 'Hourglass', 'Dior Beauty'})","Charlotte Tilbury, Hourglass, Dior Beauty"
0.06030150753768844,"frozenset({'Huda Beauty', 'Charlotte Tilbury', 'Dior Beauty'})","Huda Beauty, Charlotte Tilbury, Dior Beauty"
0.08040201005025126,"frozenset({'Make Up By Mario', 'Charlotte Tilbury', 'Dior Beauty'})","Make Up By Mario, Charlotte Tilbury, Dior Beauty"
0.07035175879396985,"frozenset({'Charlotte Tilbury', 'Rare Beauty', 'Dior Beauty'})","Charlotte Tilbury, Rare Beauty, Dior Beauty"
0.07537688442211055,"frozenset({'Huda Beauty', 'Fenty Beauty', 'Charlotte Tilbury'})","Huda Beauty, Fenty Beauty, Charlotte Tilbury"
0.05527638190954774,"frozenset({'Make Up By Mario', 'Fenty Beauty', 'Charlotte Tilbury'})","Make Up By Mario, Fenty Beauty, Charlotte Tilbury"
0.06532663316582915,"frozenset({'Fenty Beauty', 'Rare Beauty', 'Charlotte Tilbury'})","Fenty Beauty, Rare Beauty, Charlotte Tilbury"
0.05025125628140704,"frozenset({'Huda Beauty', 'Charlotte Tilbury', 'Hourglass'})","Huda Beauty, Charlotte Tilbury, Hourglass"
0.07035175879396985,"frozenset({'Make Up By Mario', 'Charlotte Tilbury', 'Hourglass'})","Make Up By Mario, Charlotte Tilbury, Hourglass"
0.05527638190954774,"frozenset({'Charlotte Tilbury', 'Hourglass', 'Patrick Ta Beauty'})","Charlotte Tilbury, Hourglass, Patrick Ta Beauty"
0.08040201005025126,"frozenset({'Make Up By Mario', 'Charlotte Tilbury', 'Huda Beauty'})","Make Up By Mario, Charlotte Tilbury, Huda Beauty"
0.05025125628140704,"frozenset({'Huda Beauty', 'Charlotte Tilbury', 'Rare Beauty'})","Huda Beauty, Charlotte Tilbury, Rare Beauty"
0.07537688442211055,"frozenset({'Make Up By Mario', 'Charlotte Tilbury', 'Rare Beauty'})","Make Up By Mario, Charlotte Tilbury, Rare Beauty"
0.05025125628140704,"frozenset({'Make Up By Mario', 'Dior Beauty', 'Hourglass'})","Make Up By Mario, Dior Beauty, Hourglass"
